year,rate
1981,15.7
1982,15.8
1983,15.8
1984,15
1985,15.7
1986,15
1987,15.4
1988,14.9
1989,14.9
1990,15.4
1991,14.9
1992,15.1
1993,14.7
1994,14.5
1995,14.2
1996,13.9
1997,13.6
1998,13.3
1999,13.1
2000,13
2001,12.7
2002,12.8
2003,12.6
2004,12.6
2005,12.7
2006,12.8
2007,13.5
2008,13.8
1960,17.9
1961,18.6
1962,18.7
1963,18.8
1964,18.5
1965,17.9
1966,17.6
1967,17.4
1968,17.1
1969,16.4
1970,15.1
1971,14.6
1972,13.9
1973,13
1974,12.9
1975,12.5
1976,11.6
1977,11.4
1978,11.4
1979,11.5
1980,12.1
1981,12.4
1982,12.5
1983,11.9
1984,11.7
1985,11.6
1986,11.4
1987,11.3
1988,11.6
1989,11.5
1990,11.6
1991,12.1
1992,12.1
1993,11.9
1994,11.5
1995,11
1996,11
1997,10.1
1998,10
1999,9.655
2000,9.6
2001,9.3
2002,8.9
2003,9.5
2004,9.7
2005,9.493
2006,9.407
2007,9.186
2008,9.326
1960,41.022
1961,40.841
1962,40.38
1963,39.598
1964,38.5
1965,37.114
1966,35.496
1967,33.764
1968,32.033
1969,30.388
1970,28.914
1971,27.671
1972,26.663
1973,25.885
1974,25.34
1975,25.023
1976,24.909
1977,24.941
1978,25.065
1979,25.243
1980,25.443
1981,26.3
1982,25.2
1983,26.1
1984,26.6
1985,26.6
1986,27.6
1987,26.8
1988,26.4
1989,26.4
1990,25.9
1991,26.6
1992,25.2
1993,23.7
1994,21.4
1995,18.9
1996,16.9
1997,17.1
1998,15.9
1999,14.9
2000,14.8
2001,13.8
2002,13.8
2003,14
2004,16.1
2005,17.2
2006,17.8
2007,18
2008,17.8
1960,45.866
1961,45.605
1962,45.366
1963,45.151
1964,44.958
1965,44.782
1966,44.619
1967,44.465
1968,44.321
1969,44.192
1970,44.081
1971,43.994
1972,43.939
1973,43.927
1974,43.968
1975,44.081
1976,44.29
1977,44.595
1978,44.986
1979,45.443
1980,45.946
1981,46.475
1982,46.991
1983,47.453
1984,47.821
1985,48.049
1986,48.099
1987,47.963
1988,47.646
1989,47.155
1990,46.502
1991,45.712
1992,44.829
1993,43.896
1994,42.946
1995,42.002
1996,41.077
1997,40.17
1998,39.289
1999,38.453
2000,37.685
2001,37.003
2002,36.413
2003,35.91
2004,35.493
2005,35.154
2006,34.886
2007,34.665
2008,34.465
1960,17
1961,17.3
1962,16.8
1963,17.1
1964,17.2
1965,16.5
1966,15.9
1967,15.3
1968,14.8
1969,14.8
1970,14.8
1971,14.6
1972,14
1973,13.3
1974,12.7
1975,12.2
1976,12.3
1977,12.4
1978,12.5
1979,12.6
1980,12.6
1981,12.6
1982,12.2
1983,11.9
1984,11.7
1985,11.6
1986,11.9
1987,11.9
1988,12.1
1989,12.1
1990,12.4
1991,12.6
1992,12.4
1993,12
1994,11.5
1995,11.4
1996,11.33
1997,11.37
1998,11.3
1999,11.1
2000,11.2
2001,11.1
2002,10.8
2003,10.7
2004,11.1
2005,11.261
2006,11.508
2007,11.356
2008,11.672
1960,43.407
1961,43.9
1962,44.36
1963,44.777
1964,45.146
1965,45.459
1966,45.714
1967,45.914
1968,46.069
1969,46.184
1970,46.265
1971,46.321
1972,46.359
1973,46.388
1974,46.412
1975,46.439
1976,46.473
1977,46.512
1978,46.55
1979,46.586
1980,46.614
1981,46.629
1982,46.624
1983,46.594
1984,46.535
1985,46.445
1986,46.322
1987,46.169
1988,45.989
1989,45.781
1990,45.543
1991,45.271
1992,44.966
1993,44.632
1994,44.272
1995,43.894
1996,43.502
1997,43.103
1998,42.706
1999,42.316
2000,41.942
2001,41.592
2002,41.265
2003,40.956
2004,40.659
2005,40.366
2006,40.065
2007,39.745
2008,39.395
1960,47.531
1961,47.496
1962,47.466
1963,47.448
1964,47.442
1965,47.441
1966,47.428
1967,47.396
1968,47.343
1969,47.278
1970,47.227
1971,47.22
1972,47.28
1973,47.414
1974,47.614
1975,47.858
1976,48.112
1977,48.34
1978,48.512
1979,48.615
1980,48.648
1981,48.621
1982,48.558
1983,48.479
1984,48.392
1985,48.302
1986,48.21
1987,48.111
1988,48
1989,47.876
1990,47.736
1991,47.574
1992,47.39
1993,47.183
1994,46.958
1995,46.707
1996,46.42
1997,46.105
1998,45.781
1999,45.477
2000,45.261
2001,45.213
2002,45.362
2003,45.695
2004,46.164
2005,46.67
2006,47.083
2007,47.289
2008,47.212
1960,47.258
1961,47.238
1962,47.208
1963,47.165
1964,47.111
1965,47.055
1966,47.011
1967,46.989
1968,46.991
1969,47.014
1970,47.053
1971,47.102
1972,47.143
1973,47.153
1974,47.112
1975,46.998
1976,46.79
1977,46.48
1978,46.062
1979,45.53
1980,44.875
1981,44.094
1982,43.203
1983,42.222
1984,41.173
1985,40.078
1986,38.958
1987,37.831
1988,36.72
1989,35.644
1990,34.624
1991,33.669
1992,32.777
1993,31.939
1994,31.155
1995,30.418
1996,29.723
1997,29.057
1998,28.404
1999,27.755
2000,27.09
2001,26.392
2002,25.661
2003,24.903
2004,24.132
2005,23.37
2006,22.651
2007,21.999
2008,21.431
1960,17.8
1961,17.4
1962,16.7
1963,16.4
1964,16.1
1965,15.3
1966,14.9
1967,15
1968,16.9
1969,17
1970,16.3
1971,15.9
1972,15.3
1973,16.2
1974,17.2
1975,16.6
1976,16.5
1977,16.1
1978,15.5
1979,15.3
1980,14.5
1981,14.1
1982,13.9
1983,13.6
1984,13.7
1985,13.3
1986,13.2
1987,13
1988,13.1
1989,12.6
1990,12.1
1991,11.1
1992,10.4
1993,10
1994,9.4
1995,8.6
1996,8.7
1997,7.7
1998,7.9
1999,8.8
2000,9
2001,8.6
2002,8.5
2003,8.6
2004,9
2005,9.183
2006,9.609
2007,9.837
2008,10.194
1960,46.568
1961,46.798
1962,46.885
1963,46.78
1964,46.453
1965,45.861
1966,44.971
1967,43.826
1968,42.491
1969,41.036
1970,39.562
1971,38.183
1972,36.976
1973,35.996
1974,35.265
1975,34.773
1976,34.468
1977,34.258
1978,34.062
1979,33.846
1980,33.599
1981,33.337
1982,33.083
1983,32.843
1984,32.593
1985,32.287
1986,31.871
1987,31.312
1988,30.596
1989,29.729
1990,28.726
1991,27.619
1992,26.468
1993,25.329
1994,24.246
1995,23.26
1996,22.405
1997,21.678
1998,21.072
1999,20.583
2000,20.196
2001,19.887
2002,19.622
2003,19.373
2004,19.121
2005,18.856
2006,18.577
2007,18.295
2008,18.017
1960,37.103
1961,37.297
1962,37.271
1963,36.957
1964,36.339
1965,35.458
1966,34.398
1967,33.296
1968,32.264
1969,31.353
1970,30.592
1971,29.973
1972,29.447
1973,28.975
1974,28.551
1975,28.19
1976,27.912
1977,27.722
1978,27.607
1979,27.539
1980,27.457
1981,27.289
1982,26.994
1983,26.559
1984,25.997
1985,25.365
1986,24.751
1987,24.234
1988,23.863
1989,23.644
1990,23.548
1991,23.514
1992,23.46
1993,23.32
1994,23.067
1995,22.682
1996,22.167
1997,21.563
1998,20.913
1999,20.245
2000,19.593
2001,18.989
2002,18.45
2003,17.987
2004,17.608
2005,17.308
2006,17.075
2007,16.882
2008,16.704
1960,33.222
1961,32.41
1962,31.484
1963,30.449
1964,29.325
1965,28.146
1966,26.954
1967,25.794
1968,24.708
1969,23.725
1970,22.868
1971,22.147
1972,21.542
1973,21.03
1974,20.6
1975,20.238
1976,19.925
1977,19.645
1978,19.383
1979,19.125
1980,18.874
1981,18.643
1982,18.438
1983,18.252
1984,18.066
1985,17.833
1986,17.495
1987,17.027
1988,16.427
1989,15.716
1990,14.954
1991,14.22
1992,13.585
1993,13.093
1994,12.75
1995,12.522
1996,12.346
1997,12.145
1998,11.869
1999,11.507
2000,11.074
2001,10.609
2002,10.17
2003,9.8
2004,9.515
2005,9.319
2006,9.203
2007,9.138
2008,9.097
1960,24.08
1962,24
1965,20.76
1967,18.6
1970,17.46
1972,16.7
1977,15.8
1981,16.3
1982,16.3
1983,17.6
1984,17
1985,17.05
1986,17.1
1987,16.1
1988,16.1
1989,15
1990,13.9
1991,12.9
1992,12.4
1993,11.3
1994,10.7
1995,9.8
1996,9.3
1997,8.8
1998,9.1
1999,9.1
2000,9.4
2001,9.2
2002,9.4
2003,8.9643062375
2004,9.0531211679
2005,9.2588401192
2006,9.93793938155976
2007,10.68
2008,11.14
1960,43.146
1961,42.622
1962,42.157
1963,41.743
1964,41.377
1965,41.055
1966,40.779
1967,40.552
1968,40.375
1969,40.247
1970,40.176
1971,40.17
1972,40.227
1973,40.334
1974,40.472
1975,40.615
1976,40.736
1977,40.81
1978,40.817
1979,40.742
1980,40.572
1981,40.302
1982,39.95
1983,39.535
1984,39.074
1985,38.594
1986,38.125
1987,37.681
1988,37.268
1989,36.881
1990,36.498
1991,36.086
1992,35.613
1993,35.056
1994,34.414
1995,33.69
1996,32.899
1997,32.074
1998,31.242
1999,30.424
2000,29.633
2001,28.878
2002,28.156
2003,27.469
2004,26.821
2005,26.218
2006,25.667
2007,25.162
2008,24.698
1960,28.3
1962,26
1965,21.725
1966,20.3
1970,20.3
1976,15.2
1977,14.3
1978,13
1979,14.5
1980,14.9
1984,15.1
1989,15.2
1990,14.6
1991,15.4
1992,15.5
1993,13.7
1994,14.5
1995,13.3
1996,13.9
2000,13.5
2001,13.4
2002,13.4
2004,13.2
2005,13.1
2006,12.894
2007,12.688
2008,12.482
1960,46.359
1961,46.167
1962,45.981
1963,45.812
1964,45.667
1965,45.564
1966,45.519
1967,45.524
1968,45.557
1969,45.589
1970,45.566
1971,45.425
1972,45.129
1973,44.664
1974,44.037
1975,43.281
1976,42.449
1977,41.609
1978,40.82
1979,40.113
1980,39.507
1981,38.999
1982,38.562
1983,38.17
1984,37.816
1985,37.502
1986,37.234
1987,37.01
1988,36.817
1989,36.635
1990,36.431
1991,36.167
1992,35.823
1993,35.39
1994,34.87
1995,34.282
1996,33.66
1997,33.041
1998,32.453
1999,31.906
2000,31.396
2001,30.909
2002,30.418
2003,29.905
2004,29.367
2005,28.808
2006,28.235
2007,27.663
2008,27.104
1960,42.865
1961,42.549
1962,42.074
1963,41.422
1964,40.606
1965,39.66
1966,38.637
1967,37.61
1968,36.642
1969,35.773
1970,35.034
1971,34.441
1972,33.968
1973,33.586
1974,33.279
1975,33.034
1976,32.836
1977,32.659
1978,32.475
1979,32.251
1980,31.949
1981,31.533
1982,30.994
1983,30.336
1984,29.569
1985,28.709
1986,27.779
1987,26.822
1988,25.883
1989,24.995
1990,24.198
1991,23.524
1992,22.972
1993,22.534
1994,22.199
1995,21.95
1996,21.76
1997,21.592
1998,21.407
1999,21.179
2000,20.878
2001,20.482
2002,19.998
2003,19.439
2004,18.817
2005,18.153
2006,17.476
2007,16.814
2008,16.194
1960,30.782
1961,30.141
1962,29.374
1963,28.488
1964,27.509
1965,26.48
1966,25.456
1967,24.484
1968,23.597
1969,22.812
1970,22.119
1971,21.487
1972,20.874
1973,20.255
1974,19.633
1975,19.032
1976,18.492
1977,18.045
1978,17.709
1979,17.482
1980,17.348
1981,17.278
1982,17.231
1983,17.171
1984,17.075
1985,16.928
1986,16.722
1987,16.469
1988,16.182
1989,15.862
1990,15.511
1991,15.13
1992,14.728
1993,14.314
1994,13.901
1995,13.501
1996,13.126
1997,12.784
1998,12.479
1999,12.217
2000,11.999
2001,11.823
2002,11.68
2003,11.562
2004,11.463
2005,11.381
2006,11.312
2007,11.256
2008,11.208
1960,45.555
1961,44.552
1962,43.44
1963,42.249
1964,41.024
1965,39.835
1966,38.756
1967,37.828
1968,37.064
1969,36.46
1970,35.964
1971,35.498
1972,34.982
1973,34.372
1974,33.665
1975,32.908
1976,32.18
1977,31.558
1978,31.089
1979,30.771
1980,30.553
1981,30.35
1982,30.081
1983,29.702
1984,29.215
1985,28.677
1986,28.182
1987,27.816
1988,27.623
1989,27.596
1990,27.681
1991,27.793
1992,27.832
1993,27.722
1994,27.435
1995,26.96
1996,26.315
1997,25.568
1998,24.782
1999,23.995
2000,23.247
2001,22.572
2002,21.977
2003,21.464
2004,21.034
2005,20.678
2006,20.373
2007,20.089
2008,19.802
1960,47.945
1961,47.885
1962,47.801
1963,47.706
1964,47.606
1965,47.504
1966,47.399
1967,47.286
1968,47.158
1969,47.014
1970,46.856
1971,46.686
1972,46.505
1973,46.31
1974,46.096
1975,45.847
1976,45.546
1977,45.187
1978,44.771
1979,44.308
1980,43.827
1981,43.37
1982,42.958
1983,42.597
1984,42.27
1985,41.939
1986,41.55
1987,41.051
1988,40.408
1989,39.608
1990,38.648
1991,37.539
1992,36.326
1993,35.061
1994,33.779
1995,32.527
1996,31.343
1997,30.243
1998,29.234
1999,28.319
2000,27.477
2001,26.669
2002,25.861
2003,25.034
2004,24.195
2005,23.377
2006,22.629
2007,21.993
2008,21.494
1960,46.996
1961,46.859
1962,46.718
1963,46.583
1964,46.458
1965,46.343
1966,46.235
1967,46.126
1968,46.009
1969,45.884
1970,45.761
1971,45.65
1972,45.557
1973,45.477
1974,45.399
1975,45.31
1976,45.196
1977,45.034
1978,44.805
1979,44.489
1980,44.064
1981,43.509
1982,42.827
1983,42.029
1984,41.127
1985,40.138
1986,39.081
1987,37.986
1988,36.884
1989,35.801
1990,34.766
1991,33.797
1992,32.895
1993,32.058
1994,31.286
1995,30.569
1996,29.889
1997,29.228
1998,28.576
1999,27.935
2000,27.318
2001,26.745
2002,26.235
2003,25.8
2004,25.438
2005,25.147
2006,24.914
2007,24.718
2008,24.54
1960,43.682
1961,43.758
1962,43.797
1963,43.801
1964,43.775
1965,43.721
1966,43.639
1967,43.532
1968,43.405
1969,43.264
1970,43.114
1971,42.96
1972,42.805
1973,42.657
1974,42.522
1975,42.411
1976,42.334
1977,42.292
1978,42.282
1979,42.298
1980,42.333
1981,42.377
1982,42.415
1983,42.434
1984,42.421
1985,42.359
1986,42.23
1987,42.036
1988,41.787
1989,41.495
1990,41.188
1991,40.901
1992,40.659
1993,40.475
1994,40.348
1995,40.265
1996,40.204
1997,40.128
1998,40.006
1999,39.822
2000,39.558
2001,39.206
2002,38.776
2003,38.285
2004,37.744
2005,37.17
2006,36.58
2007,35.993
2008,35.422
1960,26.7
1961,26
1962,25.2
1963,24.6
1964,23.4
1965,21.3
1966,19.3
1967,18.2
1968,17.6
1969,17.6
1970,17.4
1971,16.8
1972,15.9
1973,15.6
1974,15.4
1975,15.8
1976,15.6
1977,15.5
1978,15.2
1979,15.4
1980,15.4
1981,15.3
1982,15.1
1983,15
1984,15
1985,14.9
1986,14.5
1987,14.4
1988,14.5
1989,14.9
1990,15
1991,14.9
1992,14.7
1993,13.6
1994,13.1
1995,12.6
1996,12
1997,11.6
1998,11.4
1999,11.2
2000,10.9
2001,10.6
2002,10.7
2003,10.5
2004,10.65
2005,10.65
2006,10.85
2007,11.1
2008,11.25
1960,17.6
1961,18.3
1962,18.7
1963,19.3
1964,19.5
1965,19.1
1966,18.5
1967,17.9
1968,17.3
1969,16.7
1970,15.8
1971,15.2
1972,14.3
1973,13.6
1974,13.1
1975,12.2
1976,11.6
1977,11.5
1978,11.2
1979,11.3
1980,11.5
1981,11.4
1982,11.4
1983,11.4
1984,11.6
1985,11.5
1986,11.7
1987,11.6
1988,12.3
1989,12.6
1990,12.5
1991,12.7
1992,12.2
1993,12.1
1994,11.9
1995,11.7
1996,11.4
1997,11.4
1998,11
1999,10.3
2000,10.9
2001,10.1
2002,9.7
2003,9.7
2004,9.9
2005,9.803
2006,9.804
2007,9.865
2008,10.055
1960,16.383
1961,16.863
1962,17.218
1963,17.399
1964,17.381
1965,17.158
1966,16.747
1967,16.208
1968,15.604
1969,14.971
1970,14.343
1971,13.746
1972,13.189
1973,12.684
1974,12.246
1975,11.891
1976,11.622
1977,11.428
1978,11.3
1979,11.23
1980,11.216
1981,11.254
1982,11.335
1983,11.448
1984,11.583
1985,11.733
1986,11.895
1987,12.066
1988,12.236
1989,12.388
1990,12.501
1991,12.553
1992,12.535
1993,12.445
1994,12.288
1995,12.076
1996,11.83
1997,11.576
1998,11.332
1999,11.109
2000,10.907
2001,10.721
2002,10.537
2003,10.344
2004,10.144
2005,9.938
2006,9.729
2007,9.524
2008,9.33
1960,38.955
1961,38.541
1962,37.885
1963,36.999
1964,35.923
1965,34.722
1966,33.476
1967,32.256
1968,31.118
1969,30.093
1970,29.169
1971,28.303
1972,27.44
1973,26.55
1974,25.651
1975,24.79
1976,24.033
1977,23.438
1978,23.035
1979,22.828
1980,22.8
1981,22.914
1982,23.106
1983,23.31
1984,23.485
1985,23.599
1986,23.635
1987,23.598
1988,23.491
1989,23.299
1990,23.004
1991,22.587
1992,22.055
1993,21.425
1994,20.72
1995,19.969
1996,19.205
1997,18.462
1998,17.771
1999,17.155
2000,16.633
2001,16.213
2002,15.878
2003,15.613
2004,15.406
2005,15.249
2006,15.128
2007,15.03
2008,14.942
1960,20.86
1961,18.02
1962,37.01
1963,43.37
1964,39.14
1965,37.88
1966,35.05
1967,33.96
1968,35.59
1969,34.11
1970,33.43
1971,30.65
1972,29.77
1973,27.93
1974,24.82
1975,23.01
1976,19.91
1977,18.93
1978,18.25
1979,17.82
1980,18.21
1981,20.91
1982,22.28
1983,20.19
1984,19.9
1985,21.04
1986,22.43
1987,23.33
1988,22.37
1989,21.58
1990,21.06
1991,19.68
1992,18.27
1993,18.09
1994,17.7
1995,17.12
1996,16.98
1997,16.57
1998,15.64
1999,14.64
2000,14.03
2001,13.38
2002,12.86
2003,12.41
2004,12.29
2005,12.4
2006,12.09
2007,12.1
2008,12.14
1960,53.053
1961,53.145
1962,53.206
1963,53.236
1964,53.237
1965,53.21
1966,53.155
1967,53.07
1968,52.955
1969,52.809
1970,52.635
1971,52.437
1972,52.216
1973,51.966
1974,51.681
1975,51.348
1976,50.953
1977,50.485
1978,49.943
1979,49.329
1980,48.648
1981,47.904
1982,47.117
1983,46.307
1984,45.492
1985,44.688
1986,43.912
1987,43.169
1988,42.464
1989,41.805
1990,41.188
1991,40.608
1992,40.054
1993,39.523
1994,39.02
1995,38.562
1996,38.173
1997,37.862
1998,37.628
1999,37.457
2000,37.326
2001,37.201
2002,37.05
2003,36.847
2004,36.578
2005,36.241
2006,35.843
2007,35.407
2008,34.952
1960,43.366
1961,43.563
1962,43.766
1963,43.959
1964,44.134
1965,44.288
1966,44.425
1967,44.556
1968,44.686
1969,44.813
1970,44.934
1971,45.043
1972,45.133
1973,45.2
1974,45.243
1975,45.264
1976,45.27
1977,45.267
1978,45.252
1979,45.22
1980,45.157
1981,45.045
1982,44.873
1983,44.635
1984,44.335
1985,43.982
1986,43.594
1987,43.189
1988,42.781
1989,42.373
1990,41.95
1991,41.487
1992,40.971
1993,40.403
1994,39.803
1995,39.212
1996,38.683
1997,38.252
1998,37.944
1999,37.758
2000,37.685
2001,37.699
2002,37.748
2003,37.785
2004,37.776
2005,37.69
2006,37.506
2007,37.227
2008,36.86
1960,42.546
1961,42.65
1962,42.757
1963,42.86
1964,42.954
1965,43.033
1966,43.092
1967,43.129
1968,43.146
1969,43.14
1970,43.117
1971,43.085
1972,43.046
1973,43.001
1974,42.944
1975,42.863
1976,42.744
1977,42.576
1978,42.352
1979,42.074
1980,41.743
1981,41.365
1982,40.955
1983,40.531
1984,40.107
1985,39.698
1986,39.321
1987,38.979
1988,38.672
1989,38.397
1990,38.14
1991,37.878
1992,37.596
1993,37.288
1994,36.964
1995,36.653
1996,36.396
1997,36.221
1998,36.137
1999,36.136
2000,36.187
2001,36.25
2002,36.277
2003,36.227
2004,36.08
2005,35.823
2006,35.457
2007,35.011
2008,34.509
1960,44.585
1961,44.333
1962,44.043
1963,43.689
1964,43.246
1965,42.672
1966,41.923
1967,41.002
1968,39.938
1969,38.769
1970,37.57
1971,36.431
1972,35.423
1973,34.591
1974,33.948
1975,33.475
1976,33.119
1977,32.802
1978,32.46
1979,32.068
1980,31.615
1981,31.113
1982,30.594
1983,30.088
1984,29.602
1985,29.145
1986,28.721
1987,28.326
1988,27.951
1989,27.591
1990,27.233
1991,26.865
1992,26.476
1993,26.063
1994,25.626
1995,25.167
1996,24.694
1997,24.221
1998,23.76
1999,23.319
2000,22.905
2001,22.525
2002,22.176
2003,21.854
2004,21.554
2005,21.269
2006,20.987
2007,20.7
2008,20.403
1960,48.691
1961,48.48
1962,48.215
1963,47.922
1964,47.627
1965,47.352
1966,47.112
1967,46.911
1968,46.752
1969,46.646
1970,46.604
1971,46.632
1972,46.724
1973,46.869
1974,47.056
1975,47.304
1976,47.638
1977,48.041
1978,48.465
1979,48.841
1980,49.038
1981,48.911
1982,48.384
1983,47.439
1984,46.109
1985,44.484
1986,42.702
1987,40.933
1988,39.318
1989,37.936
1990,36.824
1991,35.97
1992,35.293
1993,34.726
1994,34.249
1995,33.856
1996,33.547
1997,33.324
1998,33.181
1999,33.1
2000,33.07
2001,33.086
2002,33.131
2003,33.182
2004,33.209
2005,33.173
2006,33.04
2007,32.792
2008,32.426
1960,50.456
1961,49.75
1962,48.881
1963,47.869
1964,46.748
1965,45.571
